train/global_step,MiniLM-L6-based - eval/cosine_accuracy,deberta-based - eval/cosine_accuracy
100,0.574949494949495,0.8965656565656566
200,0.6288888888888889,0.9705050505050505
300,0.7935353535353535,0.9848484848484849
400,0.8836363636363637,0.9878787878787879
500,0.9173737373737374,0.9913131313131314
600,0.9301010101010101,0.9923232323232323
700,0.9393939393939394,0.9943434343434343
800,0.9458585858585858,0.9929292929292929
900,0.9561616161616162,0.9933333333333333
1000,0.9587878787878787,0.9933333333333333
1100,0.96,0.9945454545454545
1200,0.9604040404040404,0.9947474747474747
1300,0.9668686868686869,0.9935353535353535
1400,0.9707070707070707,0.9937373737373737
1500,0.9737373737373738,0.9949494949494949
1600,0.9759595959595959,0.9945454545454545
1700,0.9733333333333334,0.9935353535353535
1800,0.978989898989899,0.9957575757575757
1900,0.9806060606060606,0.9959595959595959
2000,0.981010101010101,0.9959595959595959
2100,0.9808080808080808,0.9961616161616161
2200,0.9816161616161616,0.996969696969697
2300,0.98,0.9957575757575757
2400,0.982020202020202,0.9955555555555555
2500,0.9838383838383838,0.9967676767676767
2600,0.9812121212121212,0.9973737373737374
2700,0.9838383838383838,0.9965656565656565
2800,0.9826262626262626,0.9971717171717172
2900,0.9866666666666667,0.9959595959595959
3000,0.9838383838383838,0.9965656565656565
3100,0.9848484848484849,0.9965656565656565
3200,0.9846464646464647,0.9961616161616161
3300,0.9862626262626263,0.9963636363636363
3400,0.9862626262626263,0.9963636363636363
3500,0.9864646464646465,0.9973737373737374
3600,0.9868686868686869,0.996969696969697
3700,0.9870707070707071,0.9959595959595959
3800,0.9876767676767677,0.9965656565656565
3900,0.9878787878787879,0.9963636363636363
4000,0.9882828282828283,0.996969696969697
4100,0.9878787878787879,0.9967676767676767
4200,0.9878787878787879,0.9965656565656565
4300,0.9880808080808081,0.9971717171717172
4400,0.9884848484848485,0.9971717171717172
4500,0.9901010101010101,0.9971717171717172
4600,0.9894949494949495,0.996969696969697
4700,0.9880808080808081,0.9965656565656565
4800,0.9882828282828283,0.9967676767676767
4900,0.9901010101010101,0.9967676767676767
5000,0.9890909090909091,0.9967676767676767
5100,0.9886868686868687,0.9971717171717172
5200,0.9890909090909091,0.9971717171717172
5300,0.9892929292929293,0.9975757575757576
5400,0.9896969696969697,0.9971717171717172
5500,0.98989898989899,0.9971717171717172
5600,0.98989898989899,0.9971717171717172
5700,0.9901010101010101,0.9967676767676767
5800,0.9907070707070708,0.996969696969697
5900,0.98989898989899,0.9973737373737374
6000,0.9896969696969697,0.997979797979798
6100,0.9915151515151515,0.996969696969697
6200,0.98989898989899,0.9967676767676767
6300,0.9905050505050506,0.9973737373737374
6400,0.9905050505050506,0.9973737373737374
6500,0.9907070707070708,0.9977777777777778
6600,0.9892929292929293,0.997979797979798
6700,0.9911111111111112,0.9973737373737374
6800,0.990909090909091,0.9967676767676767
6900,0.9911111111111112,0.9961616161616161
7000,0.9907070707070708,0.9971717171717172
7100,0.9911111111111112,0.9971717171717172
7200,0.9901010101010101,0.996969696969697
7300,0.9892929292929293,0.9973737373737374
7400,0.9905050505050506,0.9977777777777778
7500,0.9901010101010101,0.9977777777777778
7600,0.98989898989899,0.9973737373737374
7700,0.9896969696969697,0.9973737373737374
7800,0.9907070707070708,0.9977777777777778
7900,0.990909090909091,0.9977777777777778
8000,0.9915151515151515,0.9975757575757576
8100,0.9915151515151515,0.9967676767676767
8200,0.9919191919191919,0.9973737373737374
8300,0.9907070707070708,0.9971717171717172
8400,0.9907070707070708,0.9973737373737374
8500,0.9905050505050506,0.9971717171717172
8600,0.9927272727272727,0.9971717171717172
8700,0.9915151515151515,0.9973737373737374
8800,0.9921212121212121,0.9973737373737374
8900,0.9919191919191919,0.997979797979798
9000,0.9919191919191919,0.9977777777777778
9100,0.9913131313131314,0.9977777777777778
9200,0.9915151515151515,0.9973737373737374
9300,0.9923232323232323,0.9973737373737374
9400,0.9917171717171717,0.9967676767676767
9500,0.9919191919191919,0.9973737373737374
9600,0.9921212121212121,0.9975757575757576
9700,0.9917171717171717,0.9971717171717172
9800,0.9921212121212121,0.9975757575757576
9900,0.9917171717171717,0.9973737373737374
10000,0.9919191919191919,0.9975757575757576
10100,0.9911111111111112,0.9975757575757576
10200,0.990909090909091,0.9975757575757576
10300,0.9921212121212121,0.9977777777777778
10400,0.9917171717171717,0.9973737373737374
10500,0.9923232323232323,0.9973737373737374
10600,0.9923232323232323,0.9973737373737374
10700,0.9915151515151515,0.9971717171717172
10800,0.9913131313131314,0.9973737373737374
10900,0.9919191919191919,0.9975757575757576
11000,0.9917171717171717,0.9975757575757576
11100,0.9919191919191919,0.9973737373737374
11200,0.9919191919191919,0.9975757575757576
11300,0.9921212121212121,0.9973737373737374
11400,0.9919191919191919,0.9973737373737374
11500,0.9917171717171717,0.9971717171717172
11600,0.9917171717171717,0.997979797979798
11700,0.9925252525252525,0.9975757575757576
11800,0.9925252525252525,0.9973737373737374
11900,0.9927272727272727,0.9973737373737374
12000,0.9927272727272727,0.9973737373737374
12100,0.9927272727272727,0.9975757575757576
12200,0.9925252525252525,0.9973737373737374
12300,0.9925252525252525,0.9973737373737374
