train/global_step,MiniLM-L6-based - eval/positive_avg_cosine,deberta-based - eval/positive_avg_cosine
100,0.7169817090034485,0.8383622169494629
200,0.7534319162368774,0.7256052494049072
300,0.781146228313446,0.7033135294914246
400,0.7143805027008057,0.6821997165679932
500,0.6804569363594055,0.6711739897727966
600,0.6748529076576233,0.6835830211639404
700,0.6766494512557983,0.6489929556846619
800,0.6956254839897156,0.6710540652275085
900,0.661253035068512,0.6560706496238708
1000,0.6899339556694031,0.6523416638374329
1100,0.676981508731842,0.6737799644470215
1200,0.7004390358924866,0.6880826950073242
1300,0.6821470260620117,0.6828787922859192
1400,0.6838371157646179,0.6762159466743469
1500,0.6874855756759644,0.6697230339050293
1600,0.6947975158691406,0.6932583451271057
1700,0.6757996678352356,0.6889825463294983
1800,0.6840485334396362,0.7125351428985596
1900,0.7034710049629211,0.7097684741020203
2000,0.7164010405540466,0.6924793124198914
2100,0.6822490692138672,0.7026011347770691
2200,0.702402651309967,0.719377875328064
2300,0.6817289590835571,0.7106574177742004
2400,0.6953792572021484,0.7224735617637634
2500,0.7052221298217773,0.7249681353569031
2600,0.7075300812721252,0.7059695720672607
2700,0.7138590812683105,0.7233790159225464
2800,0.6970946192741394,0.7197885513305664
2900,0.6893770694732666,0.7023893594741821
3000,0.693184494972229,0.733302652835846
3100,0.7033779621124268,0.7216755747795105
3200,0.6961420774459839,0.7262002229690552
3300,0.7132321000099182,0.7328649163246155
3400,0.6904508471488953,0.7156299352645874
3500,0.6999703645706177,0.7241540551185608
3600,0.710435152053833,0.7391428351402283
3700,0.696132242679596,0.7226606607437134
3800,0.7081665396690369,0.7271089553833008
3900,0.7063140273094177,0.7434217929840088
4000,0.69654780626297,0.7220727801322937
4100,0.6873677372932434,0.7266861200332642
4200,0.7147775888442993,0.73722243309021
4300,0.7012346982955933,0.7297704815864563
4400,0.7011493444442749,0.7224451303482056
4500,0.7011111378669739,0.7294906973838806
4600,0.6995875239372253,0.7199097275733948
4700,0.710543155670166,0.7417864203453064
4800,0.7083799839019775,0.7429515719413757
4900,0.7098703980445862,0.7371876239776611
5000,0.7074846029281616,0.7340733408927917
5100,0.7052015066146851,0.7246837019920349
5200,0.7075286507606506,0.7224347591400146
5300,0.7069072127342224,0.7295047044754028
5400,0.7131865620613098,0.7308964133262634
5500,0.7129099369049072,0.7333365082740784
5600,0.7084842324256897,0.7372115254402161
5700,0.722178041934967,0.7300986051559448
5800,0.7215288281440735,0.7448471188545227
5900,0.7237908840179443,0.7232722043991089
6000,0.7124499082565308,0.7241837382316589
6100,0.7287087440490723,0.7425869703292847
6200,0.7229270935058594,0.7372933030128479
6300,0.7183352708816528,0.7437633872032166
6400,0.7176681160926819,0.7388674020767212
6500,0.7235867381095886,0.7339397668838501
6600,0.7153371572494507,0.7277688980102539
6700,0.7097461223602295,0.733794629573822
6800,0.7140412926673889,0.7253616452217102
6900,0.7210829854011536,0.7218856811523438
7000,0.7256945371627808,0.735501229763031
7100,0.7161852121353149,0.7191444635391235
7200,0.7180728912353516,0.7269322276115417
7300,0.7189695835113525,0.7368858456611633
7400,0.720579981803894,0.7446975708007812
7500,0.7223645448684692,0.7298981547355652
7600,0.7233870029449463,0.7335148453712463
7700,0.7178604006767273,0.7308120131492615
7800,0.7143180966377258,0.7301727533340454
7900,0.7177978157997131,0.7384037375450134
8000,0.7261967658996582,0.7292678952217102
8100,0.7243296504020691,0.7228657603263855
8200,0.7267946004867554,0.7267823815345764
8300,0.725983738899231,0.7287572026252747
8400,0.7261407375335693,0.7293249368667603
8500,0.7286975383758545,0.7283302545547485
8600,0.7211759090423584,0.7422712445259094
8700,0.7220816016197205,0.7413896918296814
8800,0.7212473750114441,0.743127167224884
8900,0.7239680290222168,0.7418683767318726
9000,0.7274213433265686,0.7356509566307068
9100,0.7243003845214844,0.740071713924408
9200,0.7264390587806702,0.7251067161560059
9300,0.7266831994056702,0.7375495433807373
9400,0.7249391078948975,0.7317081689834595
9500,0.7260926365852356,0.7383749485015869
9600,0.7200311422348022,0.7309657335281372
9700,0.719631552696228,0.7287060022354126
9800,0.7181073427200317,0.7345207333564758
9900,0.7258882522583008,0.7448179721832275
10000,0.7215831279754639,0.7352280616760254
10100,0.719215989112854,0.7353091239929199
10200,0.7253265976905823,0.7354510426521301
10300,0.7214674353599548,0.7315150499343872
10400,0.7253896594047546,0.7332738637924194
10500,0.7297715544700623,0.7314267754554749
10600,0.7329218983650208,0.730500340461731
10700,0.7325930595397949,0.7316068410873413
10800,0.7315799593925476,0.7341185212135315
10900,0.7313714027404785,0.7338011264801025
11000,0.7293700575828552,0.7339940667152405
11100,0.7283586263656616,0.7354848980903625
11200,0.7285023331642151,0.7356021404266357
11300,0.727374255657196,0.7364076375961304
11400,0.7273854613304138,0.7372795343399048
11500,0.7282043099403381,0.7338516712188721
11600,0.7294085621833801,0.7320812344551086
11700,0.7292042374610901,0.731228232383728
11800,0.7284494638442993,0.7312729954719543
11900,0.7282524704933167,0.7306572794914246
12000,0.7281609773635864,0.7320798635482788
12100,0.7272346615791321,0.7330889701843262
12200,0.7276561856269836,0.733506441116333
12300,0.7279399633407593,0.734332263469696
