train/global_step,MiniLM-L6-based - train/loss,deberta-based - train/loss
500,2.3357,1.0413
1000,0.799,0.2181
1500,0.5683,0.1811
2000,0.4507,0.1666
2500,0.4049,0.1349
3000,0.3315,0.1168
3500,0.2721,0.104
4000,0.2306,0.0679
4500,0.2037,0.0736
5000,0.2091,0.0598
5500,0.1608,0.0505
6000,0.1643,0.0503
6500,0.1455,0.0348
7000,0.1345,0.0371
7500,0.1432,0.0296
8000,0.1089,0.0286
8500,0.1156,0.0271
9000,0.096,0.0187
9500,0.0958,0.0184
10000,0.0945,0.0184
10500,0.0819,0.0175
11000,0.0774,0.018
11500,0.0785,0.012
12000,0.0741,0.0089
